鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
松山區,租賃房屋,臺北市松山區敦化北路１００號,0.0,,,,1141121,土地0建物0車位0,十三層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0721005,30.73,300,10,300,有,無,有,20500,667,,0.0,0,免租金期：115年11月21日至115年12月20日租金總額含電費；租賃建物部分範圍，且未計入共有部分面積；,RPUNMLPLJIKGFDA18CC,分租套房,有,1141121~1151220,有,冷氣、電視機、冰箱,一般轉租
信義區,租賃房屋,臺北市信義區吳興街３９４巷３９號六樓,0.0,,,,1141122,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),第二組多戶住宅（Ｈ２）,鋼筋混凝土造,1130710,88.47999999999999,2,2,2,有,有,有,35000,396,,0.0,0,管理費每個月4945元不包含在租金內,RPVNMLPLJIKGFDA28CC,整棟(戶)出租,有,1141215~1151214,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
松山區,租賃房屋,臺北市松山區三民路９６巷７號２樓,0.0,,,,1141121,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630313,85.59,3,1,1,有,無,有,30000,351,,0.0,0,續租案件；,RPTOMLPLJIKGFDA18CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,臺北市信義區松隆路２１５巷５號,0.0,,,,1141124,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660519,118.87,2,2,1,有,無,無,24000,202,,0.0,0,,RPVOMLPLJIKGFDA38CC,整棟(戶)出租,無,1141126~1151125,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
士林區,租賃房屋,臺北市士林區故宮路１５巷１號,0.0,,,,1141121,土地0建物1車位0,全,1,透天厝,住家用,磚石造,0550701,25.53,1,0,1,有,無,有,12500,490,,0.0,0,續租案件；,RPXNMLPLJIKGFEA58CC,整棟(戶)出租,無,1141130~1161129,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
北投區,租賃房屋,臺北市北投區光明路６８號８樓之９,0.0,,,,1141125,土地0建物1車位0,八層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961116,36.38,1,1,1,有,有,無,18000,495,,0.0,0,,RPPOMLPLJIKGFEA87CC,獨立套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、冰箱,
士林區,租賃房屋,臺北市士林區承德路四段４０巷４９號２樓之７,0.0,,,,1141121,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610812,30.7,2,1,1,有,有,有,19500,635,,0.0,0,管理費：125元，租金不含管理費，由承租人負擔。,RPSOMLPLJIKGFEA18CC,整棟(戶)出租,無,1141125~1171124,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
士林區,租賃房屋+車位,臺北市士林區中山北路六段２５２巷１號５樓,0.0,,,,1141125,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820628,147.07999999999998,3,2,2,有,有,有,39800,271,坡道機械,0.0,0,,RPWOMLPLJIKGFEA58CC,整棟(戶)出租,有,1141201~1210131,有,冷氣、熱水器、瓦斯或天然氣,
大安區,租賃房屋,臺北市大安區忠孝東路四段４９巷４弄１６號８樓之１,0.0,,,,1141124,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0650505,54.91,0,0,0,無,有,無,28000,510,,0.0,0,多人共同承租2；,RPSNMLPLJIKGFFA18CC,整棟(戶)出租,有,1141210~1161209,有,冷氣、熱水器、瓦斯或天然氣,
中正區,租賃房屋,臺北市中正區中華路二段２９９號６樓之１３,0.0,,,,1141121,土地0建物1車位0,六層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610627,32.7,1,1,1,有,無,無,13500,413,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件續租案件；,RPPNMLQLJIKGFAA47CC,獨立套房,無,1141124~1151123,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
