鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,城市,坪數,每坪租金,交易年,建築年,屋齡,樓層
永和區,租賃房屋,新北市永和區永利路８１巷２２號２樓,0.0,,,,1141128,土地0建物1車位0,二層,4.0,公寓(5樓含以下無電梯),住家用,加強磚造,641205.0,76.18,3,2,1,有,無,無,24800,326.0,,0.0,0,,RPVPMLSJKIKGFHF96CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,23.04445,1076.1810327432418,114,64.0,50.0,2.0
中和區,租賃房屋,新北市中和區國光街１１１號３樓,0.0,,,,1141129,土地0建物1車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701217.0,92.85,3,2,2,有,無,有,24000,258.0,,0.0,0,續租案件；,RPWPMLSJKIKGFHF07CC,整棟(戶)出租,無,1141205~1151017,無,冷氣、熱水器、洗衣機、電視機,社會住宅代管,新北市,28.087124999999997,854.4840385051871,114,70.0,44.0,3.0
三峽區,租賃房屋,新北市三峽區大同路４５之３號六樓,0.0,,,,1141129,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080725.0,119.0,3,1,1,有,有,無,16000,134.0,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPRNMLSJKIKGFIF09CC,整棟(戶)出租,有,1141201~1151130,有,熱水器、瓦斯或天然氣,社會住宅代管,新北市,35.9975,444.4753107854712,114,108.0,6.0,6.0
樹林區,租賃房屋,新北市樹林區俊英街１３３巷２之１號八樓,0.0,,,,1141128,土地0建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831126.0,118.15,3,2,2,有,有,無,20000,169.0,,0.0,0,續租案件；,RPSNMLSJKIKGFIF56CC,整棟(戶)出租,有,1141201~1151130,有,熱水器,社會住宅包租轉租,新北市,35.740375,559.5912186148018,114,83.0,31.0,8.0
樹林區,租賃房屋,新北市樹林區復興路３９０巷１９號十四樓之１,0.0,,,,1141128,土地0建物1車位0,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820616.0,116.19,3,2,1,有,有,有,25000,215.0,,0.0,0,,RPUNMLSJKIKGFIF76CC,整棟(戶)出租,有,1141201~1171130,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租,新北市,35.147475,711.2886487578411,114,82.0,32.0,14.0
樹林區,租賃房屋,新北市樹林區太順街６２巷３弄８號２樓,0.0,,,,1141127,土地0建物1車位0,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740805.0,88.01,3,2,1,有,無,有,14000,159.0,,0.0,0,續租案件；,RPWNMLSJKIKGFIF96CC,整棟(戶)出租,無,1141207~1151206,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管,新北市,26.623025000000002,525.8606037443153,114,74.0,40.0,2.0
板橋區,租賃房屋+車位,新北市板橋區華江九路５７號１７樓,0.0,,,,1141121,土地0建物1車位1,十七層,21.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130301.0,107.68,3,1,1,有,有,無,33100,341.0,坡道平面,19.73,3100,此為新北市社會住宅包租代管計畫之物件,RPPNMLTJKIKGFAF18CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,新北市,32.5732,1016.1728046369408,114,113.0,1.0,17.0
板橋區,租賃房屋,新北市板橋區大明街２０巷４３號四樓,0.0,,,,1141125,土地0建物1車位0,四層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.42,3,2,1,有,無,有,21500,289.0,,0.0,0,,RPQNMLTJKIKGFAF28CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管,新北市,22.51205,955.044076394642,114,,,4.0
土城區,租賃房屋,新北市土城區樂利街３巷２２號８樓,0.0,,,,1141121,土地0建物1車位0,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,881015.0,28.770000000000003,1,1,1,有,有,有,10500,365.0,,0.0,0,另有管理費522元，由承租人負擔。,RPWOMLTJKIKGFAF98CC,獨立套房,有,1141207~1151206,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租,新北市,8.702925,1206.4909211558183,114,88.0,26.0,8.0
板橋區,租賃房屋,新北市板橋區民生路三段３２３號１５樓之５,0.0,,,,1141128,土地0建物1車位0,十五層,37.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950914.0,52.290000000000006,1,0,1,有,有,有,16000,306.0,,0.0,0,,RPXOMLTJKIKGFAF09CC,獨立套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機,社會住宅包租轉租,新北市,15.817725000000001,1011.5234649736292,114,95.0,19.0,15.0
板橋區,租賃房屋+車位,新北市板橋區華江九路６７號８樓,0.0,,,,1141130,土地0建物1車位1,八層,21.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130301.0,89.53,2,1,1,有,有,無,36000,402.0,坡道平面,19.73,0,租金總額含管理費；,RPUPMLTJKIKGFAF88CC,整棟(戶)出租,有,1141225~1151224,有,,,新北市,27.082825,1329.255718338098,114,113.0,1.0,8.0
