鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
三芝區,租賃房屋,新北市三芝區樂全街１４０號９樓,0.0,,,,1141121,土地0建物1車位0,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850529,41.25,1,0,1,有,有,有,7500,182,,0.0,0,1.管理費：500元，租金不含管理費，由承租人負擔。,RPUPMLOLJIKGFEF88CC,獨立套房,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
瑞芳區,租賃房屋,新北市瑞芳區逢甲路２８８號２樓,0.0,,,,1141121,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強鋼筋混凝土造,,110.7,3,1,1,有,無,有,15000,136,,0.0,0,,RPPNMLOLJIKGFFF28CC,整棟(戶)出租,無,1141121~1151120,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
蘆洲區,租賃房屋,新北市蘆洲區中正路２４３巷１０號４樓,0.0,,,,1141123,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691028,30.0,4,1,3,有,無,有,14000,467,,0.0,0,租賃期間有約定不同租金114年12月份為搬家寬限期；,RPOOMLOLJIKGFGF38CC,分租套房,無,1141201~1150614,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
三重區,租賃房屋,新北市三重區中華路９９號４樓,0.0,,,,1141121,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0591005,80.75,3,1,1,有,無,有,18500,229,,0.0,0,,RPQOMLOLJIKGFGF58CC,整棟(戶)出租,無,1141130~1171129,無,冷氣、熱水器,社會住宅代管
三重區,租賃房屋,新北市三重區五華街６３巷１２號２樓,0.0,,,,1141123,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680911,73.0,3,1,1,有,無,有,27000,370,,0.0,0,,RPUOMLOLJIKGFGF98CC,整棟(戶)出租,無,1141201~1161130,無,冷氣、熱水器、洗衣機、電視機、冰箱,
三重區,租賃房屋,新北市三重區仁義街１６７巷４５號四樓之一,0.0,,,,1141123,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700627,16.52,4,0,4,有,無,有,13500,817,,0.0,0,本案為分租套房，本間為405室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；,RPVOMLOLJIKGFGF09CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
中和區,租賃房屋,新北市中和區景新街３３５之２號四樓,0.0,,,,1141121,土地0建物1車位0,四層,36,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1110224,76.82,2,1,1,有,有,有,30000,391,,0.0,0,續租案件；,RPPNMLOLJIKGFHF48CC,整棟(戶)出租,有,1141122~1151121,有,冷氣、熱水器、電視機,社會住宅代管
中和區,租賃房屋,新北市中和區景平路４９０號十三樓之八,0.0,,,,1141123,土地0建物1車位0,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970501,61.11,1,1,1,有,有,有,21000,344,,0.0,0,管理費每個月1848元不包含在租金內,RPSNMLOLJIKGFHF78CC,獨立套房,有,1141125~1151124,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中和區,租賃房屋,新北市中和區永和路９７號四樓,0.0,,,,1141121,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740627,99.19,3,2,2,有,無,無,28500,287,,0.0,0,,RPUNMLOLJIKGFHF98CC,整棟(戶)出租,無,1141201~1151114,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中和區,租賃房屋,新北市中和區國光街１０９巷２２弄８號三樓,0.0,,,,1141121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691220,83.38,3,2,1,有,無,無,12500,150,,0.0,0,水、電由承租人負擔續租案件；,RPVNMLOLJIKGFHF09CC,整棟(戶)出租,無,1141201~1161130,無,熱水器,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區莊敬路２２０巷４８號二樓,0.0,,,,1141122,土地0建物0車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890124,28.0,5,2,2,有,有,有,16800,600,,0.0,0,租金總額含管理費；網路費；,RPQNMLPLJIKGFAF97CC,分租套房,有,1141126~1160228,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
土城區,租賃房屋,新北市土城區延和路２０３號三樓之一,0.0,,,,1141122,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811212,57.81,2,1,1,有,有,無,19000,329,,0.0,0,管理費每個月680元不包含在租金內,RPTNMLPLJIKGFAF28CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區四川路二段１２３號十九樓之８,0.0,,,,1141122,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,101.81,2,2,1,有,有,無,23800,234,,0.0,0,管理費每個月1200元不包含在租金內,RPTOMLPLJIKGFAF38CC,整棟(戶)出租,有,1141130~1150330,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
